time,LEV,latitude,longitude,u,v
UTC,millibar,degrees_north,degrees_east,,
2010-01-01T00:00:00Z,1000.0,7.0,70.0,-3.0792303,-2.823248
2010-01-01T00:00:00Z,1000.0,7.0,70.25,-3.0333319,-2.719244
2010-01-01T00:00:00Z,1000.0,7.0,70.5,-2.9976873,-2.5830135
2010-01-01T00:00:00Z,1000.0,7.0,70.75,-2.963996,-2.4399471
2010-01-01T00:00:00Z,1000.0,7.0,71.0,-2.8931952,-2.2968807
2010-01-01T00:00:00Z,1000.0,7.0,71.25,-2.8346014,-2.1752987
2010-01-01T00:00:00Z,1000.0,7.0,71.5,-2.7413397,-2.0600643
2010-01-01T00:00:00Z,1000.0,7.0,71.75,-2.67591,-1.9321346
2010-01-01T00:00:00Z,1000.0,7.0,72.0,-2.5987616,-1.8427792
2010-01-01T00:00:00Z,1000.0,7.0,72.25,-2.5206366,-1.7255917
2010-01-01T00:00:00Z,1000.0,7.0,72.5,-2.4708319,-1.6074276
2010-01-01T00:00:00Z,1000.0,7.0,72.75,-2.4200506,-1.4545956
2010-01-01T00:00:00Z,1000.0,7.0,73.0,-2.4273748,-1.3110409
2010-01-01T00:00:00Z,1000.0,7.0,73.25,-2.4083319,-1.1958065
2010-01-01T00:00:00Z,1000.0,7.0,73.5,-2.382453,-1.125494
2010-01-01T00:00:00Z,1000.0,7.0,73.75,-2.3624334,-1.10108
2010-01-01T00:00:00Z,1000.0,7.0,74.0,-2.3873358,-1.066412
2010-01-01T00:00:00Z,1000.0,7.0,74.25,-2.4825506,-1.0732479
2010-01-01T00:00:00Z,1000.0,7.0,74.5,-2.604621,-1.0512753
2010-01-01T00:00:00Z,1000.0,7.0,74.75,-2.806281,-1.1088924
2010-01-01T00:00:00Z,1000.0,7.0,75.0,-3.0533514,-1.1709042
2010-01-01T00:00:00Z,1000.0,7.0,75.25,-3.4356756,-1.2929745
2010-01-01T00:00:00Z,1000.0,7.0,75.5,-3.9400702,-1.4843807
2010-01-01T00:00:00Z,1000.0,7.0,75.75,-4.5626287,-1.8012753
2010-01-01T00:00:00Z,1000.0,7.0,76.0,-5.3140936,-2.3623104
2010-01-01T00:00:00Z,1000.0,7.0,76.25,-6.0538397,-2.9511776
2010-01-01T00:00:00Z,1000.0,7.0,76.5,-6.720832,-3.7500057
2010-01-01T00:00:00Z,1000.0,7.0,76.75,-7.146613,-4.5659237
2010-01-01T00:00:00Z,1000.0,7.0,77.0,-7.3013983,-5.418951
2010-01-01T00:00:00Z,1000.0,7.0,77.25,-7.156867,-6.151861
2010-01-01T00:00:00Z,1000.0,7.0,77.5,-6.758918,-6.6665096
2010-01-01T00:00:00Z,1000.0,7.0,77.75,-6.281867,-7.057623
2010-01-01T00:00:00Z,1000.0,7.0,78.0,-5.8223944,-7.162115
2010-01-01T00:00:00Z,1000.0,7.25,70.0,-2.9742498,-2.9018612
2010-01-01T00:00:00Z,1000.0,7.25,70.25,-2.9141912,-2.7924862
2010-01-01T00:00:00Z,1000.0,7.25,70.5,-2.8717108,-2.6684628
2010-01-01T00:00:00Z,1000.0,7.25,70.75,-2.8106756,-2.5258846
2010-01-01T00:00:00Z,1000.0,7.25,71.0,-2.7476873,-2.3764706
2010-01-01T00:00:00Z,1000.0,7.25,71.25,-2.6871405,-2.2426815
2010-01-01T00:00:00Z,1000.0,7.25,71.5,-2.603156,-2.1210995
2010-01-01T00:00:00Z,1000.0,7.25,71.75,-2.5269842,-1.9975643
2010-01-01T00:00:00Z,1000.0,7.25,72.0,-2.4112616,-1.9096737
2010-01-01T00:00:00Z,1000.0,7.25,72.25,-2.340949,-1.7802792
2010-01-01T00:00:00Z,1000.0,7.25,72.5,-2.278449,-1.6523495
2010-01-01T00:00:00Z,1000.0,7.25,72.75,-2.2208319,-1.4936581
2010-01-01T00:00:00Z,1000.0,7.25,73.0,-2.2008123,-1.3574276
2010-01-01T00:00:00Z,1000.0,7.25,73.25,-2.135871,-1.253912
2010-01-01T00:00:00Z,1000.0,7.25,73.5,-2.0968084,-1.1435604
2010-01-01T00:00:00Z,1000.0,7.25,73.75,-2.0450506,-1.0478573
2010-01-01T00:00:00Z,1000.0,7.25,74.0,-2.0279608,-0.9506893
2010-01-01T00:00:00Z,1000.0,7.25,74.25,-2.057746,-0.910162
2010-01-01T00:00:00Z,1000.0,7.25,74.5,-2.092414,-0.85107994
2010-01-01T00:00:00Z,1000.0,7.25,74.75,-2.2076483,-0.85596275
2010-01-01T00:00:00Z,1000.0,7.25,75.0,-2.3927069,-0.8335018
2010-01-01T00:00:00Z,1000.0,7.25,75.25,-2.6954412,-0.8525448
2010-01-01T00:00:00Z,1000.0,7.25,75.5,-3.0743475,-0.94678307
2010-01-01T00:00:00Z,1000.0,7.25,75.75,-3.6124334,-1.168951
2010-01-01T00:00:00Z,1000.0,7.25,76.0,-4.338996,-1.6040096
2010-01-01T00:00:00Z,1000.0,7.25,76.25,-5.2032537,-2.128912
2010-01-01T00:00:00Z,1000.0,7.25,76.5,-6.1490545,-2.9614315
2010-01-01T00:00:00Z,1000.0,7.25,76.75,-6.933234,-3.8710995
2010-01-01T00:00:00Z,1000.0,7.25,77.0,-7.45716,-4.9804745
2010-01-01T00:00:00Z,1000.0,7.25,77.25,-7.5001287,-6.0009823
2010-01-01T00:00:00Z,1000.0,7.25,77.5,-7.1353827,-6.748541
2010-01-01T00:00:00Z,1000.0,7.25,77.75,-6.5704412,-7.2690487
2010-01-01T00:00:00Z,1000.0,7.25,78.0,-6.0118475,-7.316412
2010-01-01T00:00:00Z,1000.0,7.5,70.0,-2.8653631,-2.9648495
2010-01-01T00:00:00Z,1000.0,7.5,70.25,-2.8033514,-2.866705
2010-01-01T00:00:00Z,1000.0,7.5,70.5,-2.7535467,-2.7587948
2010-01-01T00:00:00Z,1000.0,7.5,70.75,-2.6627264,-2.61524
2010-01-01T00:00:00Z,1000.0,7.5,71.0,-2.6124334,-2.4707088
2010-01-01T00:00:00Z,1000.0,7.5,71.25,-2.5465155,-2.3266659
2010-01-01T00:00:00Z,1000.0,7.5,71.5,-2.4649725,-2.2187557
2010-01-01T00:00:00Z,1000.0,7.5,71.75,-2.373664,-2.1020565
2010-01-01T00:00:00Z,1000.0,7.5,72.0,-2.2545233,-2.0117245
2010-01-01T00:00:00Z,1000.0,7.5,72.25,-2.1876287,-1.875494
2010-01-01T00:00:00Z,1000.0,7.5,72.5,-2.0997381,-1.7353573
2010-01-01T00:00:00Z,1000.0,7.5,72.75,-2.0313787,-1.5815487
2010-01-01T00:00:00Z,1000.0,7.5,73.0,-1.9644842,-1.4721737
2010-01-01T00:00:00Z,1000.0,7.5,73.25,-1.8863592,-1.3593807
2010-01-01T00:00:00Z,1000.0,7.5,73.5,-1.8346014,-1.1889706
2010-01-01T00:00:00Z,1000.0,7.5,73.75,-1.7545233,-1.0478573
2010-01-01T00:00:00Z,1000.0,7.5,74.0,-1.7056952,-0.90576744
2010-01-01T00:00:00Z,1000.0,7.5,74.25,-1.6549139,-0.8471737
2010-01-01T00:00:00Z,1000.0,7.5,74.5,-1.6314764,-0.7500057
2010-01-01T00:00:00Z,1000.0,7.5,74.75,-1.6905584,-0.6748104
2010-01-01T00:00:00Z,1000.0,7.5,75.0,-1.813117,-0.5761776
2010-01-01T00:00:00Z,1000.0,7.5,75.25,-2.0050116,-0.5268612
2010-01-01T00:00:00Z,1000.0,7.5,75.5,-2.231574,-0.5678768
2010-01-01T00:00:00Z,1000.0,7.5,75.75,-2.6016912,-0.63721275
2010-01-01T00:00:00Z,1000.0,7.5,76.0,-3.163703,-0.8862362
2010-01-01T00:00:00Z,1000.0,7.5,76.25,-3.9913397,-1.2475643
2010-01-01T00:00:00Z,1000.0,7.5,76.5,-5.049445,-1.922369
2010-01-01T00:00:00Z,1000.0,7.5,76.75,-6.160285,-2.8139706
2010-01-01T00:00:00Z,1000.0,7.5,77.0,-7.146125,-4.0918026
2010-01-01T00:00:00Z,1000.0,7.5,77.25,-7.5601873,-5.448736
2010-01-01T00:00:00Z,1000.0,7.5,77.5,-7.34925,-6.6054745
