time,latitude,longitude,uwnd,vwnd,wspd,upstr,vpstr,nobs
UTC,degrees_north,degrees_east,m/s,m/s,m/s,m2/s2,m2/s2,count
2010-01-01T00:00:00Z,7.125,70.125,-3.2274308,-2.9039247,4.89036,-16.602575,-15.686992,82.0
2010-01-01T00:00:00Z,7.125,70.375,-3.1847036,-2.7772691,4.7930794,-16.083744,-14.771409,75.0
2010-01-01T00:00:00Z,7.125,70.625,-3.0946712,-2.665873,4.6820645,-15.351278,-13.886345,77.0
2010-01-01T00:00:00Z,7.125,70.875,-3.0427883,-2.6231458,4.6053843,-15.046083,-13.489593,83.0
2010-01-01T00:00:00Z,7.125,71.125,-3.0305803,-2.4339254,4.4497356,-14.679851,-12.085698,83.0
2010-01-01T00:00:00Z,7.125,71.375,-2.932918,-2.3530488,4.3558884,-14.008423,-11.44479,86.0
2010-01-01T00:00:00Z,7.125,71.625,-2.8611975,-2.1714582,4.250596,-13.5506315,-10.285051,82.0
2010-01-01T00:00:00Z,7.125,71.875,-2.7894769,-1.9685038,4.1418705,-12.940243,-9.155832,86.0
2010-01-01T00:00:00Z,7.125,72.125,-2.781847,-1.8250625,4.0697684,-12.665567,-8.331807,85.0
2010-01-01T00:00:00Z,7.125,72.375,-2.6994445,-1.74266,3.9461646,-11.872062,-7.568821,85.0
2010-01-01T00:00:00Z,7.125,72.625,-2.7864249,-1.471037,3.7619035,-12.268815,-6.0733685,35.0
2010-01-01T00:00:00Z,7.125,72.875,NaN,NaN,NaN,NaN,NaN,0.0
2010-01-01T00:00:00Z,7.125,73.125,NaN,NaN,NaN,NaN,NaN,0.0
2010-01-01T00:00:00Z,7.125,73.375,-2.4644449,-1.3275956,3.481506,-9.766221,-4.455838,21.0
2010-01-01T00:00:00Z,7.125,73.625,-2.3774643,-1.3947384,3.402537,-9.491546,-4.91363,82.0
2010-01-01T00:00:00Z,7.125,73.875,-2.3042178,-1.2451931,3.359047,-9.27791,-4.150644,89.0
2010-01-01T00:00:00Z,7.125,74.125,-2.3545747,-1.1139596,3.328146,-9.583104,-3.5097356,93.0
2010-01-01T00:00:00Z,7.125,74.375,-2.4812305,-1.1063297,3.4414494,-10.681804,-3.4486966,88.0
2010-01-01T00:00:00Z,7.125,74.625,-2.6994445,-0.99035585,3.5684867,-12.085698,-3.051944,90.0
2010-01-01T00:00:00Z,7.125,74.875,-2.949704,-0.88201183,3.7767818,-14.099981,-2.8383079,89.0
2010-01-01T00:00:00Z,7.125,75.125,-3.2335346,-1.1124336,3.987366,-16.114264,-4.272722,94.0
2010-01-01T00:00:00Z,7.125,75.375,-3.7844105,-1.4023683,4.4863586,-20.417505,-6.378563,93.0
2010-01-01T00:00:00Z,7.125,75.625,-4.3841176,-1.7457119,5.0780544,-25.697369,-9.308429,90.0
2010-01-01T00:00:00Z,7.125,75.875,-4.8831105,-1.9685038,5.6090927,-31.496061,-12.085698,91.0
2010-01-01T00:00:00Z,7.125,76.125,-5.4248304,-2.5285356,6.2866244,-38.271378,-17.518158,90.0
2010-01-01T00:00:00Z,7.125,76.375,-5.942135,-3.277788,7.06487,-45.962276,-25.300615,88.0
2010-01-01T00:00:00Z,7.125,76.625,-6.337362,-3.9507415,7.7378235,-53.103825,-33.479824,93.0
2010-01-01T00:00:00Z,7.125,76.875,-6.8317766,-4.7686625,8.543537,-62.59537,-44.13111,91.0
2010-01-01T00:00:00Z,7.125,77.125,-6.866874,-5.3485317,8.904048,-65.09797,-51.486294,94.0
2010-01-01T00:00:00Z,7.125,77.375,-6.5708356,-5.8597326,8.985306,-62.534332,-56.76616,94.0
2010-01-01T00:00:00Z,7.125,77.625,-6.19392,-6.343466,9.039096,-59.055115,-61.771347,92.0
2010-01-01T00:00:00Z,7.125,77.875,-5.8673625,-6.8363547,9.186734,-56.55252,-67.53952,93.0
2010-01-01T00:00:00Z,7.125,78.125,-5.4797654,-7.09577,9.140955,-52.79863,-70.042114,93.0
2010-01-01T00:00:00Z,7.375,70.125,-3.048892,-3.0427883,4.831991,-15.381798,-16.175303,81.0
2010-01-01T00:00:00Z,7.375,70.375,-2.9817493,-2.8001587,4.6385746,-14.588292,-14.496734,77.0
2010-01-01T00:00:00Z,7.375,70.625,-3.0168467,-2.7452235,4.6271296,-14.649331,-14.16102,79.0
2010-01-01T00:00:00Z,7.375,70.875,-2.9161325,-2.6902885,4.4978037,-14.008423,-13.672709,83.0
2010-01-01T00:00:00Z,7.375,71.125,-2.8673015,-2.5834706,4.3902225,-13.5506315,-12.909723,83.0
2010-01-01T00:00:00Z,7.375,71.375,-2.8703532,-2.3133736,4.2540298,-13.336995,-11.200635,82.0
2010-01-01T00:00:00Z,7.375,71.625,-2.7650614,-2.1928217,4.169338,-12.696087,-10.315571,80.0
2010-01-01T00:00:00Z,7.375,71.875,-2.624672,-2.1500945,4.082358,-11.99414,-10.071415,82.0
2010-01-01T00:00:00Z,7.375,72.125,-2.6017823,-1.9471402,3.9656208,-11.536348,-8.942196,87.0
2010-01-01T00:00:00Z,7.375,72.375,-2.5132759,-1.8265885,3.8523173,-10.834401,-8.087651,88.0
2010-01-01T00:00:00Z,7.375,72.625,-2.4217176,-1.7304523,3.7493143,-10.193493,-7.5383015,84.0
2010-01-01T00:00:00Z,7.375,72.875,-2.3057437,-1.7487639,3.569631,-9.674663,-7.2636266,34.0
2010-01-01T00:00:00Z,7.375,73.125,-2.2523346,-1.3611671,3.3327239,-8.881157,-5.188305,33.0
2010-01-01T00:00:00Z,7.375,73.375,-2.0997374,-1.6251602,3.3098342,-7.812977,-6.042849,79.0
2010-01-01T00:00:00Z,7.375,73.625,-2.0966854,-1.4603552,3.3098342,-8.087651,-5.066227,90.0
2010-01-01T00:00:00Z,7.375,73.875,-2.0921075,-1.3047061,3.24231,-7.9960933,-4.3642797,90.0
2010-01-01T00:00:00Z,7.375,74.125,-2.1439908,-1.2223036,3.235443,-8.331807,-3.9980466,91.0
2010-01-01T00:00:00Z,7.375,74.375,-2.2141855,-1.139901,3.2434545,-8.820118,-3.540255,88.0
2010-01-01T00:00:00Z,7.375,74.625,-2.3728864,-0.9064274,3.304112,-9.918818,-2.4720747,90.0
2010-01-01T00:00:00Z,7.375,74.875,-2.5758407,-0.82555085,3.457472,-11.383751,-2.288958,91.0
2010-01-01T00:00:00Z,7.375,75.125,-2.7620094,-0.96136236,3.5799315,-12.543489,-2.990905,95.0
2010-01-01T00:00:00Z,7.375,75.375,-3.157236,-1.1612647,3.894663,-15.076603,-4.272722,95.0
2010-01-01T00:00:00Z,7.375,75.625,-3.6165535,-1.3901604,4.314687,-18.403223,-6.0123296,92.0
2010-01-01T00:00:00Z,7.375,75.875,-4.025514,-1.5686992,4.7438664,-22.126595,-7.812977,93.0
2010-01-01T00:00:00Z,7.375,76.125,-4.5290847,-1.966978,5.316106,-27.25386,-11.322712,91.0
2010-01-01T00:00:00Z,7.375,76.375,-5.154733,-2.61399,6.1206746,-34.639565,-17.274004,88.0
