"Year","Month","ONI","SOI","DMI","MEI","NAO","PDO","AMO"
1949,1,NA,-1.7,0.093,NA,NA,-2.01,0.151
1949,2,NA,-0.3,0.257,NA,NA,-3.6,0.158
1949,3,NA,-1,-0.021,NA,NA,-1,0.037
1949,4,NA,-1,0.241,NA,NA,-0.53,0.097
1949,5,NA,-1.1,-0.011,NA,NA,-1.07,-0.026
1949,6,NA,-0.9,0.104,NA,NA,-0.7,-0.001
1949,7,NA,-0.6,0.088,NA,NA,-0.56,0.07
1949,8,NA,-0.6,0.123,NA,NA,-1.3,0.1
1949,9,NA,-0.1,0.016,NA,NA,-0.93,0.068
1949,10,NA,0,0.035,NA,NA,-1.41,0.102
1949,11,NA,0.2,-0.272,NA,NA,-0.83,0.106
1949,12,NA,0.2,-0.261,NA,NA,-0.8,0.116
1950,1,-1.53,0.9,0.022,NA,0.56,-2.13,0.109
1950,2,-1.34,1.4,-0.474,NA,0.01,-2.91,-0.035
1950,3,-1.16,0.8,-0.592,NA,-0.78,-1.13,-0.107
1950,4,-1.18,-0.2,-0.399,NA,0.65,-1.2,-0.132
1950,5,-1.07,-0.4,-0.229,NA,-0.5,-2.23,-0.06
1950,6,-0.85,-0.1,-0.38,NA,0.25,-1.77,-0.044
1950,7,-0.54,-0.1,-0.251,NA,-1.23,-2.93,-0.057
1950,8,-0.42,-0.2,-0.107,NA,-0.19,-0.7,0.018
1950,9,-0.39,0.1,-0.525,NA,0.39,-2.14,0.008
1950,10,-0.44,-0.3,-0.431,NA,1.43,-1.36,-0.092
1950,11,-0.6,0.3,-0.104,NA,-1.46,-2.46,0.078
1950,12,-0.8,-0.5,0.043,NA,-1.03,-0.76,0.086
1951,1,-0.82,0.1,0.321,NA,-0.42,-1.54,0.101
1951,2,-0.54,0.3,0.291,NA,0.35,-1.06,-0.004
1951,3,-0.17,-1.2,0.359,NA,-1.47,-1.9,0.01
1951,4,0.18,-1,-0.438,NA,-0.38,-0.36,0.167
1951,5,0.36,-1.3,-0.059,NA,-0.5,-0.25,0.171
