"Year","Qtr","Goa","Karnataka","Kerala","SWCoast"
1956,1,NA,0,799,NA
1956,2,NA,0,NA,NA
1956,3,NA,0,180,NA
1956,4,NA,1369,4086,NA
1957,1,NA,165,13284,NA
1957,2,NA,241,3012,NA
1957,3,NA,137,18157,NA
1957,4,NA,5236,141398,NA
1958,1,NA,366,71207,NA
1958,2,NA,9,12089,NA
1958,3,NA,0,8047,NA
1958,4,NA,94,27628,NA
1959,1,NA,447,33615,NA
1959,2,NA,0,5657,NA
1959,3,NA,0,5233,NA
1959,4,NA,2874,17531,NA
1960,1,NA,66,8068,NA
1960,2,NA,0,1528,NA
1960,3,NA,516,28802,NA
1960,4,NA,2164,147821,NA
1961,1,NA,0,66009,NA
1961,2,NA,55,17968,NA
1961,3,NA,190,10496,NA
1961,4,NA,1172,71532,NA
1962,1,NA,4580,35070,NA
1962,2,NA,63,5583,NA
1962,3,NA,290,4858,NA
1962,4,NA,9167,45692,NA
1963,1,NA,633,26844,NA
1963,2,NA,2,6750,NA
1963,3,NA,0,3560,NA
1963,4,NA,2404,21796,NA
1964,1,NA,6179,20923,NA
1964,2,NA,0,1008,NA
1964,3,NA,9,33604,NA
1964,4,NA,77609,134866,NA
1965,1,NA,43,92424,NA
1965,2,NA,81,20626,NA
1965,3,NA,7,33225,NA
1965,4,NA,38904,72895,NA
1966,1,NA,1239,37457,NA
1966,2,NA,111,14353,NA
1966,3,NA,2725,57688,NA
1966,4,NA,40178,93302,NA
1967,1,NA,10770,70960,NA
1967,2,NA,168,11664,NA
1967,3,NA,52,27843,NA
1967,4,NA,9491,124943,NA
1968,1,NA,1859,47319,NA
1968,2,NA,12,4213,NA
1968,3,NA,100,57895,NA
1968,4,NA,51756,137621,NA
1969,1,NA,16732,34655,NA
1969,2,NA,94,5374,NA
1969,3,NA,309,14988,NA
1969,4,NA,16443,84966,NA
1970,1,NA,19424,30986,NA
1970,2,NA,316,27244,NA
1970,3,NA,415,46981,NA
1970,4,NA,13676,86472,NA
1971,1,NA,7568,86150,NA
1971,2,NA,42,7317,NA
1971,3,NA,49,19378,NA
1971,4,NA,4177,82152,NA
1972,1,NA,4624,40907,NA
1972,2,NA,235,21566,NA
1972,3,NA,354,11710,NA
1972,4,NA,10197,30243,NA
1973,1,NA,6966,27884,NA
1973,2,NA,652,20701,NA
1973,3,NA,258,18963,NA
1973,4,NA,7619,55285,NA
1974,1,NA,14305,18594,NA
1974,2,NA,488,20623,NA
1974,3,NA,579,15269,NA
1974,4,NA,5412,47649,NA
1975,1,NA,11150,41684,NA
1975,2,NA,502,15932,NA
1975,3,NA,16,12409,NA
1975,4,NA,41033,27158,NA
1976,1,NA,35636,29078,NA
1976,2,NA,746,19749,NA
1976,3,NA,978,9173,NA
1976,4,NA,4091,65937,NA
1977,1,NA,4387,22033,NA
1977,2,NA,425,20620,NA
1977,3,NA,842,17084,NA
1977,4,NA,25491,57519,NA
1978,1,NA,10391,19873,NA
1978,2,NA,1754,7633,NA
1978,3,NA,10469,16836,NA
1978,4,NA,24093,75595,NA
1979,1,NA,6910,27340,NA
1979,2,NA,2793,10665,NA
1979,3,NA,2243,25578,NA
1979,4,NA,21134,53251,NA
1980,1,NA,11715,23766,NA
1980,2,NA,1098,14401,NA
1980,3,NA,6640,5952,NA
1980,4,NA,23274,25548,NA
1981,1,NA,17236,19768,NA
1981,2,NA,3695,9225,NA
1981,3,NA,2437,29520,NA
1981,4,NA,42246,88473,NA
1982,1,NA,24949,45012,NA
1982,2,NA,4791,18998,NA
1982,3,NA,8054,28629,NA
1982,4,NA,17332,50576,NA
1983,1,NA,5324,61285,NA
1983,2,NA,2516,20977,NA
1983,3,NA,6441,6463,NA
1983,4,NA,7420,66154,NA
1984,1,NA,7540,56146,NA
1984,2,NA,2737,26054,NA
1984,3,NA,11533,14082,NA
1984,4,NA,14513,50857,NA
1985,1,1454,3180,37235,41869
1985,2,146,2785,6881,9812
1985,3,5,3287,19244,22536
1985,4,2463,21560,15865,39888
1986,1,243,18010,31184,49437
1986,2,0,1661,659,2320
1986,3,0,2644,189,2833
1986,4,281,4435,8581,13297
1987,1,1141,262,1262,2665
1987,2,202,5235,723,6160
1987,3,1152,11343,31540,44035
1987,4,7023,25609,11192,43824
1988,1,3697,26515,1304,31516
1988,2,115,3395,1540,5050
1988,3,4,1642,18905,20551
1988,4,12833,14356,38759,65948
1989,1,5997,17887,37496,61380
1989,2,338,2140,16073,18551
1989,3,317,3597,74671,78585
1989,4,6113,16982,56639,79734
1990,1,0,8729,38137,46866
1990,2,48,4641,28726,33415
1990,3,5220,5635,58066,68921
1990,4,7358,10713,54347,72418
1991,1,1708,3707,44562,49977
1991,2,1073,1168,37468,39709
1991,3,2157,1934,13165,17256
1991,4,17248,6555,11068,34871
1992,1,3315,3989,22620,29924
1992,2,11,641,9796,10448
1992,3,0,65,6634,6699
1992,4,4,3433,15068,18505
1993,1,0,3549,4495,8044
1993,2,10,480,11505,11995
1993,3,0,191,16211,16402
1993,4,867,759,17464,19090
1994,1,1,344,483,828
1994,2,1,296,340,637
1994,3,0,160,368,528
1994,4,0,831,363,1194
1995,1,0,1035,351,1386
1995,2,0,657,32,689
1995,3,0,173,3889,4062
1995,4,498,2446,9056,12000
1996,1,2,1485,6817,8304
1996,2,0,1243,1462,2705
1996,3,7,202,10871,11080
1996,4,1067,4202,11457,16726
1997,1,3176,2422,30188,35786
1997,2,3545,1916,18305,23766
1997,3,0,1777,14906,16683
1997,4,1098,3739,30237,35074
1998,1,168,2676,8559,11403
1998,2,0,695,13444,14139
1998,3,12,1361,24021,25394
1998,4,5208,9212,31771,46191
1999,1,1291,3895,24118,29304
1999,2,3574,339,15005,18918
1999,3,261,5271,49027,54559
1999,4,1689,11580,55002,68271
2000,1,6119,3311,39106,48536
2000,2,1381,4583,69019,74983
2000,3,918,6124,81475,88517
2000,4,4242,19275,51811,75328
2001,1,781,5671,20965,27417
